region,mlab_site,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
100_06,GR-Athens,03-01-2011,4.312003,0.844914,84.000000,0.556682,0.435678,1.040336,1539
100_06,GR-Athens,04-01-2010,3.318668,0.662575,102.000000,0.493830,0.497554,1.404915,1978
100_06,GR-Athens,05-01-2010,3.506435,0.680499,103.000000,0.513305,0.477559,1.752306,2078
100_06,GR-Athens,06-01-2010,3.424868,0.684383,112.000000,0.596239,0.396049,1.755677,1992
100_06,GR-Athens,07-01-2010,3.106348,0.718985,108.000000,0.520375,0.470196,1.445155,1731
100_06,GR-Athens,07-01-2011,4.486089,1.166719,84.000000,0.641834,0.351524,1.337952,1113
100_06,GR-Athens,08-01-2010,2.878500,0.681577,110.000000,0.384388,0.607739,0.969370,1008
100_06,GR-Athens,08-01-2011,3.818595,1.245527,88.000000,0.765971,0.225332,1.192175,1211
100_06,GR-Athens,09-01-2010,2.736002,0.683568,111.000000,0.545448,0.447133,0.827015,1141
100_06,GR-Athens,09-01-2011,4.179216,1.245968,83.000000,0.615946,0.379449,1.237011,1156
100_06,GR-Athens,10-01-2010,2.591753,0.754473,109.000000,0.570074,0.419346,0.846223,1397
100_06,GR-Athens,11-01-2010,2.907422,0.791719,105.000000,0.455231,0.539676,0.940225,1385
100_06,GR-Athens,12-01-2010,3.226813,0.789103,98.000000,0.534803,0.461201,0.896461,1412
100_06,NL-Amsterdam-2,02-01-2010,,0.638803,59.000000,0.729097,0.266182,1.149321,
100_06,UK-London,02-01-2010,,0.734511,63.000000,0.698262,0.296326,1.385714,
100_06,UK-London,03-01-2010,,0.680432,65.000000,0.765632,0.229989,1.648889,
100_07,DE-Hamburg,04-01-2010,,0.812140,,,,,
100_07,FR-Paris,01-01-2011,,0.713923,,,,,
100_07,FR-Paris,02-01-2011,,0.709582,74.000000,0.859488,0.110683,1.108225,
100_07,FR-Paris,07-01-2011,,0.806605,69.000000,0.850817,0.145707,1.023585,
100_07,GR-Athens,01-01-2010,,0.583504,,,,,
100_07,GR-Athens,01-01-2011,2.391632,0.739211,110.000000,0.825886,0.166208,0.877061,1560
100_07,GR-Athens,02-01-2010,,0.643010,85.000000,0.740036,0.253740,1.285211,
100_07,GR-Athens,02-01-2011,2.954472,0.802694,98.000000,0.808765,0.185061,0.960806,1276
100_07,GR-Athens,03-01-2010,2.690549,0.723883,108.000000,0.727158,0.267942,1.477207,695
100_07,GR-Athens,03-01-2011,3.071846,0.838027,93.000000,0.683822,0.303040,0.813187,1287
100_07,GR-Athens,04-01-2010,2.586017,0.698385,109.000000,0.721914,0.271071,1.297096,1951
100_07,GR-Athens,05-01-2010,2.788110,0.708110,110.000000,0.687482,0.304967,1.488785,2213
100_07,GR-Athens,06-01-2010,2.849682,0.711510,108.000000,0.702060,0.289604,1.410563,1977
100_07,GR-Athens,07-01-2010,2.811332,0.704982,112.000000,0.731709,0.260274,1.439099,1857
100_07,GR-Athens,07-01-2011,3.588033,0.852128,93.000000,0.815241,0.179509,1.170276,978
100_07,GR-Athens,08-01-2010,2.686253,0.757186,115.000000,0.602513,0.387002,1.001259,995
100_07,GR-Athens,08-01-2011,3.070737,0.802886,95.000000,0.799864,0.195478,1.057101,982
100_07,GR-Athens,09-01-2010,2.304235,0.753411,118.000000,0.676418,0.318241,0.744429,940
100_07,GR-Athens,09-01-2011,3.414803,1.045498,92.000000,0.813514,0.179932,1.263118,921
100_07,GR-Athens,10-01-2010,2.330119,0.724308,117.000000,0.647208,0.345658,0.799308,1145
100_07,GR-Athens,11-01-2010,2.632116,0.809791,113.000000,0.655853,0.335487,0.736066,1226
100_07,GR-Athens,12-01-2010,2.654468,0.794138,102.000000,0.769121,0.223575,0.883590,1370
100_07,NL-Amsterdam-2,02-01-2010,,0.688206,,,,,
100_07,UK-London,02-01-2010,,0.736227,,,,,
100_07,UK-London,03-01-2010,,0.737937,,,,,
100_08,GR-Athens,01-01-2011,,0.808944,88.000000,0.867849,0.127024,1.204444,
100_08,GR-Athens,02-01-2011,,0.904435,83.000000,0.599217,0.391224,0.760563,
100_08,GR-Athens,03-01-2011,,0.965531,79.000000,0.662306,0.333354,1.369748,
100_08,GR-Athens,04-01-2010,,0.723979,98.000000,0.825636,0.168107,1.661871,
100_08,GR-Athens,05-01-2010,3.039191,0.778113,95.000000,0.767739,0.210001,1.650000,212
100_08,GR-Athens,06-01-2010,3.444966,0.799172,96.000000,0.825070,0.167314,1.935811,214
100_08,GR-Athens,07-01-2010,,0.800120,95.000000,0.715485,0.272149,1.628763,
100_08,GR-Athens,08-01-2010,,1.125567,94.000000,0.613549,0.382873,1.280000,
100_08,GR-Athens,10-01-2010,,0.871767,90.000000,0.595022,0.400343,1.146789,
