country,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
348,04-01-2010,4.360794,0.453723,42.000000,0.173968,0.818721,1.564854,42014
348,05-01-2010,4.249999,0.450407,42.000000,0.147934,0.844723,1.611947,51343
348,06-01-2010,4.329287,0.454376,41.000000,0.132127,0.861043,1.604866,46744
348,07-01-2010,4.406155,0.454016,41.000000,0.120892,0.872629,1.450149,43917
348,07-01-2011,4.800712,0.764295,42.000000,0.150065,0.842920,1.511616,47721
348,08-01-2010,4.343312,0.482495,42.000000,0.131984,0.861093,1.160521,43544
348,08-01-2011,4.766877,0.771537,42.000000,0.161614,0.830894,1.580360,42456
348,09-01-2010,4.226271,0.559557,42.000000,0.176894,0.815494,1.272793,48104
348,09-01-2011,5.015465,0.843977,43.000000,0.166490,0.826746,1.711800,39662
348,10-01-2010,4.309710,0.584303,43.000000,0.159563,0.832680,1.257132,51035
348,11-01-2010,4.579777,0.589542,41.000000,0.150265,0.842418,1.291190,56604
348,12-01-2010,4.296157,0.573922,44.000000,0.165478,0.826676,1.300770,65787
352,01-01-2010,,0.491220,,,,,
352,01-01-2011,2.935809,0.556409,60.000000,0.927998,0.062993,1.430014,1664
352,02-01-2010,2.755294,0.526843,63.000000,0.907564,0.077472,2.628601,1433
352,02-01-2011,2.751579,0.551403,62.000000,0.941304,0.050619,1.717010,1610
352,03-01-2010,3.376626,0.548151,66.000000,0.885933,0.100142,2.629521,2629
352,03-01-2011,3.797082,0.643582,60.000000,0.925305,0.065225,1.665682,1585
352,04-01-2010,3.984227,0.549473,58.000000,0.794084,0.191864,2.495807,2630
352,05-01-2010,4.138184,0.535297,59.000000,0.607628,0.384019,2.407321,2167
352,06-01-2010,4.691179,0.576680,58.000000,0.762130,0.228224,2.911710,1749
352,07-01-2010,5.027619,0.588985,58.000000,0.728584,0.264729,2.632033,1542
352,07-01-2011,3.798290,0.719174,60.000000,0.947851,0.043010,1.828723,1495
352,08-01-2010,4.391059,0.583529,58.000000,0.717627,0.267992,1.540248,1644
352,08-01-2011,4.586428,0.683956,65.000000,0.934465,0.056537,2.134744,1532
352,09-01-2010,4.407994,0.603338,57.000000,0.803864,0.185945,1.563774,1817
352,09-01-2011,3.747648,0.704300,70.000000,0.948610,0.040242,2.181913,1630
352,10-01-2010,4.541588,0.609767,57.000000,0.764506,0.227114,1.556260,1277
352,11-01-2010,4.413514,0.603308,58.000000,0.807151,0.174228,1.538124,1295
352,12-01-2010,4.471729,0.603210,60.000000,0.859559,0.123444,1.653622,1386
36,01-01-2010,1.057825,0.193019,242.000000,0.730824,0.243379,2.383092,2297
36,01-01-2011,3.634675,0.412034,46.000000,0.670978,0.315868,2.354999,66584
36,02-01-2010,1.105618,0.233457,213.000000,0.805884,0.164825,2.723961,31354
36,02-01-2011,3.137244,0.408751,51.000000,0.713834,0.270059,2.355679,54731
36,03-01-2010,1.208197,0.232991,211.000000,0.757978,0.213338,2.717290,48611
36,03-01-2011,3.850766,0.425394,45.000000,0.717138,0.269701,2.530752,58651
36,04-01-2010,1.135512,0.234643,213.000000,0.748690,0.225155,2.577184,48659
36,05-01-2010,1.261384,0.253892,215.000000,0.722882,0.251816,2.546821,48033
36,06-01-2010,3.095631,0.341505,68.000000,0.720410,0.265347,2.767866,49842
36,07-01-2010,4.064760,0.396765,53.000000,0.669243,0.319471,2.711855,45104
36,07-01-2011,3.263575,0.414097,54.000000,0.783235,0.196024,2.704496,59265
36,08-01-2010,3.526530,0.388633,53.000000,0.706381,0.278832,2.206078,69993
36,08-01-2011,4.209037,0.458954,43.000000,0.786500,0.199001,2.772918,55218
36,09-01-2010,3.892531,0.399608,45.000000,0.721097,0.263544,2.296196,73032
36,09-01-2011,4.227916,0.461896,43.000000,0.790607,0.195762,2.816721,52458
36,10-01-2010,3.802880,0.406414,45.000000,0.684520,0.303222,2.268053,69745
36,11-01-2010,3.623878,0.407856,46.000000,0.668515,0.318790,2.309653,63191
36,12-01-2010,3.532325,0.409209,47.000000,0.647212,0.339168,2.343233,62657
372,01-01-2010,3.095244,0.265694,40.000000,0.534181,0.459792,1.885602,655
372,01-01-2011,3.374195,0.353808,44.000000,0.362935,0.627144,2.301524,8095
372,02-01-2010,3.485451,0.267382,45.000000,0.406610,0.586780,2.312172,4165
372,02-01-2011,3.129774,0.357063,46.000000,0.405764,0.585290,2.346723,7551
372,03-01-2010,3.207255,0.266188,46.000000,0.376152,0.615443,2.297082,7515
372,03-01-2011,3.345598,0.362970,42.000000,0.406819,0.584266,2.421655,6882
372,04-01-2010,3.435347,0.267279,45.000000,0.408519,0.579833,2.280714,7918
372,05-01-2010,3.574777,0.268093,45.000000,0.309386,0.682558,2.387005,6784
372,06-01-2010,3.999023,0.269833,42.000000,0.343674,0.647915,2.628228,5383
372,07-01-2010,3.844242,0.273512,42.000000,0.289429,0.700526,2.387845,5206
372,07-01-2011,3.909616,0.395203,43.000000,0.360227,0.631370,2.550246,5817
372,08-01-2010,2.987802,0.283485,45.000000,0.403469,0.586924,2.009465,8974
372,08-01-2011,4.106354,0.394306,42.000000,0.353359,0.639231,2.637036,5701
372,09-01-2010,2.813014,0.315855,44.000000,0.369301,0.620765,2.088139,8474
372,09-01-2011,4.455032,0.449942,42.000000,0.343374,0.648238,2.737910,5311
372,10-01-2010,3.002226,0.333300,44.000000,0.315583,0.675691,2.143417,6421
372,11-01-2010,2.624275,0.338938,47.000000,0.360399,0.628465,2.085449,6177
372,12-01-2010,2.520754,0.345018,47.000000,0.365439,0.625072,2.311736,7073
380,01-01-2010,1.870368,0.269472,77.000000,0.730009,0.254408,1.651503,13844
380,01-01-2011,2.102785,0.285851,82.000000,0.743490,0.241654,1.850393,154627
380,02-01-2010,2.061127,0.276274,82.000000,0.677651,0.308963,1.797823,55340
380,02-01-2011,2.318490,0.294164,81.000000,0.739423,0.246501,1.948910,120844
380,03-01-2010,2.216713,0.278787,81.000000,0.623902,0.364467,1.841493,102784
380,03-01-2011,2.483536,0.297505,81.000000,0.782568,0.201438,2.084725,123833
380,04-01-2010,2.377819,0.280569,81.000000,0.615759,0.371971,1.984837,148147
380,05-01-2010,2.432605,0.281340,82.000000,0.631825,0.355932,2.068836,154199
380,06-01-2010,2.553808,0.281690,82.000000,0.612915,0.375368,2.168111,123780
380,07-01-2010,2.628069,0.281671,84.000000,0.563235,0.425061,2.148868,97013
380,07-01-2011,3.177293,0.310001,78.000000,0.746034,0.240737,2.338694,89560
380,08-01-2010,2.574104,0.280729,82.000000,0.654700,0.329900,1.861565,117530
380,08-01-2011,2.679895,0.308487,90.000000,0.833241,0.151642,2.318797,75387
380,09-01-2010,2.263393,0.281335,81.000000,0.768146,0.215653,1.815847,138626
380,09-01-2011,2.767887,0.308313,96.000000,0.873119,0.112742,2.348588,72561
380,10-01-2010,2.310755,0.282416,81.000000,0.720947,0.264033,1.818307,141729
380,11-01-2010,2.236710,0.285689,80.000000,0.729346,0.256532,1.827137,141429
380,12-01-2010,2.277809,0.287353,82.000000,0.700588,0.284558,1.843330,136580
40,01-01-2010,3.123367,0.342671,48.000000,0.160674,0.826027,1.712628,659
40,01-01-2011,3.838920,0.366633,44.000000,0.318803,0.672379,2.564373,11181
40,02-01-2010,3.172620,0.348671,56.000000,0.261958,0.725990,2.275837,2717
40,02-01-2011,3.961311,0.400084,45.000000,0.339081,0.652125,2.565938,9384
40,03-01-2010,3.408099,0.354076,45.000000,0.180292,0.809641,2.410528,5397
40,03-01-2011,4.230940,0.412904,44.000000,0.311158,0.678289,2.569102,9151
40,04-01-2010,3.448904,0.357343,44.000000,0.185065,0.804042,2.612306,7815
40,05-01-2010,3.712479,0.369282,43.000000,0.203554,0.784756,2.834738,8322
40,06-01-2010,3.691810,0.407430,42.000000,0.195709,0.795603,2.938611,6573
40,07-01-2010,4.097302,0.369490,42.000000,0.162742,0.829870,2.873531,5412
40,07-01-2011,4.829665,0.475614,45.000000,0.293171,0.694025,2.839003,6749
40,08-01-2010,3.466290,0.360359,43.000000,0.222510,0.765837,2.428091,9523
