region,month,DownloadThroughputSplitByClientAndByServer,UploadThroughputSplitByClientAndByServer,RTTSplitByClientAndByServer,NetLimitedSplitByClientAndByServer,ClientLimitedSplitByClientAndByServer,WinScaleRcvdSplitByClientAndByServer,NumberOfClientsSplitByClientAndByServer
124_nf,08-01-2010,2.924167,0.398880,76.000000,0.146081,0.846143,1.791078,889
124_nf,08-01-2011,2.774994,0.399998,63.000000,0.854783,0.131717,2.706845,989
124_nf,09-01-2010,2.686542,0.378138,76.000000,0.196490,0.794873,1.931193,1050
124_nf,09-01-2011,3.370462,0.420790,60.000000,0.746054,0.235155,2.597514,843
124_nf,10-01-2010,3.064379,0.340401,67.000000,0.205721,0.785347,1.998483,929
124_nf,11-01-2010,3.027448,0.377862,66.000000,0.290336,0.697822,2.118162,885
124_nf,12-01-2010,3.713713,0.373050,67.000000,0.393302,0.589830,2.259847,1029
124_ns,01-01-2010,,0.302662,45.000000,0.200096,0.793707,1.881944,
124_ns,01-01-2011,3.754034,0.322356,35.000000,0.944145,0.044088,2.017009,3874
124_ns,02-01-2010,3.558770,0.360210,36.000000,0.309621,0.685833,2.363341,2190
124_ns,02-01-2011,3.347504,0.405239,36.000000,0.939395,0.046994,1.888314,2786
124_ns,03-01-2010,3.631099,0.360477,36.000000,0.227968,0.766962,2.232548,3181
124_ns,03-01-2011,3.159919,0.428936,36.000000,0.945362,0.039249,1.966107,2493
124_ns,04-01-2010,4.022990,0.373704,35.000000,0.189725,0.805861,2.322835,2520
124_ns,05-01-2010,4.610247,0.389656,34.000000,0.173316,0.821795,2.372313,2144
124_ns,06-01-2010,4.375698,0.389574,38.000000,0.179802,0.816125,2.299937,2024
124_ns,07-01-2010,4.401566,0.386546,37.000000,0.168908,0.824200,2.312335,1547
124_ns,07-01-2011,2.641803,0.435090,47.000000,0.951565,0.033825,2.339782,2468
124_ns,08-01-2010,3.964969,0.252284,34.000000,0.309858,0.681858,1.666434,2817
124_ns,08-01-2011,2.971281,0.432077,42.000000,0.963477,0.023521,2.332862,2884
124_ns,09-01-2010,4.043748,0.250949,32.000000,0.347818,0.642039,1.837903,3002
124_ns,09-01-2011,3.394407,0.556040,48.000000,0.920344,0.066760,2.488515,2616
124_ns,10-01-2010,3.406724,0.248036,33.000000,0.315309,0.676262,1.704665,2486
124_ns,11-01-2010,3.414784,0.250900,33.000000,0.360861,0.629602,1.720814,2510
124_ns,12-01-2010,4.334839,0.308380,35.000000,0.839038,0.146546,1.949826,3432
124_on,01-01-2010,2.168619,0.405977,39.000000,0.845534,0.137523,2.103758,3244
124_on,01-01-2011,4.400901,0.298200,39.000000,0.866595,0.122188,2.166487,36315
124_on,02-01-2010,2.784001,0.412263,38.000000,0.771196,0.217055,2.568924,30190
124_on,02-01-2011,4.560840,0.334704,42.000000,0.829027,0.158530,2.139869,25188
124_on,03-01-2010,2.617529,0.408520,38.000000,0.748927,0.240352,2.482747,45040
124_on,03-01-2011,4.634939,0.360877,41.000000,0.829540,0.157063,2.244251,25940
124_on,04-01-2010,2.828640,0.413035,39.000000,0.565879,0.427002,2.515118,37183
124_on,05-01-2010,2.895240,0.412137,39.000000,0.387504,0.605673,2.557897,34435
124_on,06-01-2010,2.871736,0.411265,39.000000,0.604266,0.386193,2.680463,31028
124_on,07-01-2010,2.780972,0.410472,39.000000,0.556468,0.435822,2.570890,26594
124_on,07-01-2011,4.456671,0.343191,52.000000,0.853718,0.121956,2.489596,22296
124_on,08-01-2010,2.622393,0.399979,39.000000,0.812546,0.172335,1.932230,41347
124_on,08-01-2011,4.223050,0.362004,53.000000,0.864157,0.110341,2.602368,23994
124_on,09-01-2010,2.734930,0.333527,38.000000,0.893078,0.091429,2.050483,45146
124_on,09-01-2011,4.204590,0.402515,51.000000,0.882457,0.104285,2.672628,21646
124_on,10-01-2010,2.786064,0.185090,38.000000,0.886969,0.100668,1.966361,39334
124_on,11-01-2010,2.986316,0.197678,39.000000,0.922895,0.063190,1.966366,38540
124_on,12-01-2010,4.398360,0.219156,39.000000,0.860579,0.127864,2.146218,39386
124_pe,01-01-2011,4.055141,0.247682,44.000000,0.626195,0.344395,2.195015,425
124_pe,02-01-2010,3.456244,0.343202,43.000000,0.453068,0.541749,2.043321,333
124_pe,02-01-2011,3.989038,0.244444,43.000000,0.688620,0.277263,1.947368,275
124_pe,03-01-2010,3.359239,0.324441,45.000000,0.310707,0.682490,2.026499,396
124_pe,03-01-2011,2.713654,0.440205,41.000000,0.939205,0.047661,2.105105,263
124_pe,04-01-2010,4.313355,0.360247,43.000000,0.277005,0.718474,2.375410,324
124_pe,05-01-2010,4.571467,0.306578,38.000000,0.271150,0.723042,2.386838,314
124_pe,06-01-2010,4.906257,0.341315,41.000000,0.212906,0.779881,2.887584,247
124_pe,07-01-2010,,0.279753,41.000000,0.175320,0.818489,2.337662,
124_pe,07-01-2011,2.577813,0.454410,58.000000,0.942440,0.036865,2.820707,306
124_pe,08-01-2010,3.662346,0.245644,38.000000,0.256707,0.737609,1.781032,326
124_pe,08-01-2011,2.843210,0.453954,44.000000,0.960511,0.021838,2.325843,345
124_pe,09-01-2010,3.067649,0.238617,40.000000,0.463481,0.530416,1.793238,369
124_pe,09-01-2011,3.047736,0.575601,44.000000,0.924400,0.063329,2.088843,364
124_pe,10-01-2010,2.696011,0.243771,40.000000,0.265876,0.730680,1.720365,307
124_pe,11-01-2010,2.851555,0.238996,39.000000,0.239099,0.742745,1.965289,268
124_pe,12-01-2010,4.506851,0.248381,44.000000,0.603549,0.388596,2.013889,378
124_qc,01-01-2010,2.610839,0.502401,39.000000,0.951098,0.034025,2.164706,1487
124_qc,01-01-2011,5.084365,0.603130,35.000000,0.652281,0.339213,2.122007,22982
124_qc,02-01-2010,4.144375,0.544519,30.000000,0.913637,0.073733,2.609542,18127
124_qc,02-01-2011,4.982305,0.613154,38.000000,0.709870,0.280705,2.103358,17630
124_qc,03-01-2010,3.945042,0.538918,32.000000,0.908240,0.079793,2.521352,28428
124_qc,03-01-2011,4.655376,0.601178,39.000000,0.841318,0.146837,2.234571,16955
124_qc,04-01-2010,3.746657,0.539274,34.000000,0.779466,0.209439,2.522760,23336
